# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	1.0
emb_size	200
hid_size	200
batch_size	32
dropout_rate	0.1

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.5869	6.1877	486.71
2	6.0196	5.8204	337.12
3	5.7441	5.6297	278.58
4	5.5720	5.4884	241.88
5	5.4486	5.4015	221.74
6	5.3505	5.3075	201.84
7	5.2704	5.2434	189.31
8	5.2010	5.1987	181.04
9	5.1397	5.1721	176.29
10	5.0844	5.1149	166.49
11	5.0346	5.0803	160.83
12	4.9885	5.0468	155.52
13	4.9474	5.0242	152.05
14	4.9084	4.9899	146.92
15	4.8716	4.9741	144.62
16	4.8374	4.9495	141.11
17	4.8045	4.9270	137.96
18	4.7742	4.9049	134.95
19	4.7450	4.8990	134.15
20	4.7170	4.8795	131.56
21	4.6910	4.8681	130.07
22	4.6641	4.8524	128.05
23	4.6410	4.8448	127.08
24	4.6171	4.8290	125.08
25	4.5943	4.8164	123.52
26	4.5738	4.8058	122.22
27	4.5527	4.8019	121.74
28	4.5334	4.7948	120.88
29	4.5134	4.7835	119.53
30	4.4952	4.7752	118.54
31	4.4768	4.7701	117.93
32	4.4600	4.7625	117.04
33	4.4434	4.7604	116.79
34	4.4262	4.7602	116.77
35	4.4092	4.7628	117.07
36	4.3940	4.7458	115.10
37	4.3792	4.7472	115.26
38	4.3656	4.7435	114.84
39	4.3518	4.7389	114.31
40	4.3375	4.7368	114.07
41	4.3240	4.7339	113.74
42	4.3105	4.7331	113.65
43	4.2987	4.7280	113.07
44	4.2859	4.7274	113.00
45	4.2744	4.7257	112.81
46	4.2622	4.7182	111.96
47	4.2504	4.7194	112.10
48	4.2384	4.7169	111.83
49	4.2280	4.7236	112.57
50	4.2185	4.7210	112.28
51	4.2071	4.7202	112.19
52	4.1966	4.7149	111.60
53	4.1873	4.7211	112.29
54	4.1775	4.7186	112.01
55	4.1675	4.7184	111.99
56	4.1581	4.7144	111.54
57	4.1483	4.7202	112.19
58	4.1398	4.7251	112.74
59	4.1302	4.7147	111.57
60	4.1209	4.7186	112.01
61	4.1131	4.7167	111.80
62	4.1054	4.7165	111.77
63	4.0971	4.7261	112.85
64	4.0888	4.7199	112.16
65	4.0792	4.7215	112.33
66	4.0716	4.7197	112.14
67	4.0646	4.7258	112.82
68	4.0583	4.7257	112.81
69	4.0489	4.7263	112.88
70	4.0424	4.7225	112.45
71	4.0343	4.7270	112.96
72	4.0288	4.7283	113.10
73	4.0205	4.7291	113.19
74	4.0139	4.7296	113.25
75	4.0075	4.7338	113.72
76	4.0015	4.7293	113.21
77	3.9949	4.7369	114.08
78	3.9877	4.7344	113.79
79	3.9827	4.7378	114.19
80	3.9759	4.7403	114.47
81	3.9695	4.7410	114.55
82	3.9638	4.7400	114.44
83	3.9578	4.7417	114.63
84	3.9512	4.7514	115.75
85	3.9465	4.7416	114.61
86	3.9402	4.7460	115.12
87	3.9355	4.7512	115.72
88	3.9287	4.7501	115.60
89	3.9246	4.7493	115.50
90	3.9175	4.7546	116.12
91	3.9115	4.7560	116.28
92	3.9072	4.7582	116.54
93	3.9028	4.7566	116.35
94	3.8979	4.7581	116.52
95	3.8941	4.7599	116.73
96	3.8893	4.7638	117.19
97	3.8828	4.7626	117.05
98	3.8781	4.7628	117.08
99	3.8747	4.7692	117.83
100	3.8699	4.7666	117.52

# Final Evaluation Metrics
Final Epoch Validation PPL	117.518
Best Validation PPL	111.540
Test PPL	106.427
