# Training Configuration
Parameter	Value
name	run_1
hid_size	200
emb_size	300
lr	0.0001
clip	5
dropout	0.0
bidirectional	True

Epoch	Train Loss	Val Loss	Intent Accuracy	Slot F1
5	2.4465	2.3815	0.7610	0.1956
10	1.4443	1.4140	0.8896	0.5644
15	0.8995	0.9281	0.9257	0.7380
20	0.6010	0.6588	0.9357	0.7965
25	0.4238	0.5063	0.9578	0.8396
30	0.3112	0.4110	0.9639	0.8634
35	0.2362	0.3426	0.9679	0.8814
40	0.1826	0.2947	0.9699	0.8994
45	0.1406	0.2588	0.9719	0.9235
50	0.1106	0.2347	0.9759	0.9367
55	0.0882	0.2195	0.9739	0.9422
60	0.0709	0.2063	0.9739	0.9475
65	0.0579	0.1958	0.9739	0.9517
70	0.0477	0.1881	0.9739	0.9552
75	0.0392	0.1835	0.9739	0.9579
80	0.0325	0.1772	0.9739	0.9597
85	0.0269	0.1747	0.9739	0.9612
90	0.0225	0.1728	0.9739	0.9633
95	0.0188	0.1699	0.9739	0.9639
100	0.0157	0.1689	0.9739	0.9648
105	0.0133	0.1669	0.9759	0.9654
110	0.0112	0.1659	0.9759	0.9663
115	0.0096	0.1668	0.9759	0.9678
120	0.0082	0.1657	0.9759	0.9701
125	0.0071	0.1663	0.9759	0.9698
130	0.0061	0.1656	0.9759	0.9698
135	0.0053	0.1659	0.9759	0.9701
140	0.0046	0.1666	0.9759	0.9692
145	0.0041	0.1667	0.9759	0.9690
150	0.0036	0.1667	0.9759	0.9696

# Final Evaluation Metrics
Final Intent Accuracy	0.9384
Final Slot F1	0.9268
Intent Precision	0.9246
Intent Recall	0.9384
Intent F1	0.9257
