# batch_size=32
# lr=5e-05
# epochs=10
# patience=3
# clip=5
# dropout=0.1
# runpath=runs/BertJoint_best/20250518_114033
# model_path=model_bin/BertJoint_best.pt
# model_name=bert-base-uncased
epoch,train_loss,val_loss,intent_accuracy,slot_f1
1,1.4339571648410387,0.4299290580675006,0.9598393574297188,0.8850338135842399
2,0.32181970652725017,0.20361188193783164,0.9859437751004017,0.9359953024075162
3,0.1694391613027879,0.14708371926099062,0.9839357429718876,0.9599528857479387
4,0.11711296975346548,0.15083814202807844,0.9819277108433735,0.9663915094339623
5,0.08119067061426384,0.0938433357514441,0.9919678714859438,0.9760567543600355
6,0.06458419894666544,0.08053059701342136,0.9939759036144579,0.9775678866587957
7,0.04205457625378455,0.07456910196924582,0.9979919678714859,0.9775413711583925
8,0.036607536849831895,0.08991722055361606,0.9879518072289156,0.9799291617473436
9,0.028413254923985474,0.07762828039994929,0.9939759036144579,0.9799173065564087
10,0.020641048199364118,0.07292242228868417,0.9939759036144579,0.9840613931523022

# Final Test Metrics
test_intent_accuracy,0.9754
test_slot_f1,0.9555
