# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	1.5
emb_size	200
hid_size	200
batch_size	32
dropout_rate	0.1

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.4554	5.9846	397.25
2	5.8203	5.6267	277.76
3	5.5537	5.4479	232.28
4	5.3903	5.3140	203.15
5	5.2689	5.2337	187.49
6	5.1703	5.1652	175.08
7	5.0870	5.1069	165.17
8	5.0129	5.0539	156.63
9	4.9483	5.0103	149.95
10	4.8901	4.9680	143.74
11	4.8370	4.9331	138.80
12	4.7884	4.9070	135.24
13	4.7425	4.8854	132.35
14	4.7016	4.8574	128.69
15	4.6630	4.8437	126.94
16	4.6263	4.8197	123.93
17	4.5913	4.7994	121.43
18	4.5588	4.7909	120.41
19	4.5297	4.7812	119.25
20	4.4996	4.7647	117.30
21	4.4724	4.7641	117.22
22	4.4473	4.7527	115.89
23	4.4221	4.7457	115.09
24	4.3979	4.7379	114.19
25	4.3754	4.7313	113.44
26	4.3535	4.7272	112.98
27	4.3336	4.7329	113.63
28	4.3132	4.7211	112.29
29	4.2944	4.7165	111.78
30	4.2750	4.7216	112.35
31	4.2560	4.7133	111.42
32	4.2400	4.7118	111.25
33	4.2220	4.7074	110.77
34	4.2071	4.7105	111.10
35	4.1896	4.7057	110.58
36	4.1745	4.7137	111.47
37	4.1608	4.7037	110.35
38	4.1455	4.7090	110.94
39	4.1328	4.7147	111.58
40	4.1189	4.7108	111.14
41	4.1063	4.7148	111.59
42	4.0939	4.7155	111.66
43	4.0811	4.7163	111.76
44	4.0695	4.7127	111.35
45	4.0573	4.7209	112.27
46	4.0468	4.7159	111.71
47	4.0349	4.7211	112.29
48	4.0246	4.7240	112.62
49	4.0146	4.7261	112.86
50	4.0031	4.7298	113.27
51	3.9935	4.7241	112.63
52	3.9851	4.7288	113.15
53	3.9744	4.7321	113.53
54	3.9658	4.7311	113.42
55	3.9581	4.7400	114.44
56	3.9472	4.7379	114.20
57	3.9388	4.7383	114.24
58	3.9305	4.7451	115.02
59	3.9230	4.7420	114.67
60	3.9152	4.7476	115.30
61	3.9067	4.7503	115.62
62	3.8993	4.7563	116.32
63	3.8930	4.7529	115.92
64	3.8839	4.7626	117.05
65	3.8764	4.7633	117.14
66	3.8704	4.7584	116.56
67	3.8615	4.7596	116.70
68	3.8550	4.7671	117.58
69	3.8500	4.7795	119.04
70	3.8433	4.7737	118.36
71	3.8373	4.7785	118.92
72	3.8315	4.7796	119.06
73	3.8234	4.7841	119.59
74	3.8193	4.7856	119.77
75	3.8124	4.7775	118.81
76	3.8065	4.7859	119.81
77	3.8023	4.7857	119.78
78	3.7969	4.7900	120.30
79	3.7897	4.7933	120.70
80	3.7860	4.7947	120.87
81	3.7788	4.8025	121.81
82	3.7742	4.8015	121.70
83	3.7711	4.7993	121.43
84	3.7650	4.8042	122.02
85	3.7598	4.8082	122.51
86	3.7543	4.8132	123.12
87	3.7510	4.8105	122.80
88	3.7444	4.8111	122.87
89	3.7406	4.8155	123.40
90	3.7349	4.8197	123.92
91	3.7310	4.8209	124.08
92	3.7272	4.8240	124.46
93	3.7224	4.8267	124.80
94	3.7192	4.8254	124.64
95	3.7150	4.8344	125.76
96	3.7094	4.8303	125.25
97	3.7068	4.8330	125.59
98	3.7029	4.8341	125.73
99	3.6971	4.8368	126.06
100	3.6956	4.8387	126.30

# Final Evaluation Metrics
Final Epoch Validation PPL	126.300
Best Validation PPL	110.350
Test PPL	107.630
