# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	1.5
emb_size	400
hid_size	400
batch_size	64
dropout_rate	0.2

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.4454	5.9538	385.20
2	5.7908	5.6131	274.00
3	5.4984	5.3815	217.35
4	5.3124	5.2353	187.78
5	5.1748	5.1442	171.44
6	5.0647	5.0714	159.39
7	4.9709	5.0021	148.73
8	4.8900	4.9407	139.86
9	4.8185	4.9037	134.79
10	4.7496	4.8629	129.40
11	4.6895	4.8293	125.12
12	4.6330	4.7979	121.25
13	4.5793	4.7762	118.65
14	4.5308	4.7570	116.39
15	4.4831	4.7445	114.95
16	4.4397	4.7241	112.63
17	4.3978	4.7193	112.09
18	4.3586	4.7085	110.89
19	4.3212	4.6890	108.74
20	4.2837	4.6843	108.23
21	4.2487	4.6785	107.61
22	4.2161	4.6716	106.86
23	4.1838	4.6716	106.86
24	4.1533	4.6684	106.53
25	4.1232	4.6657	106.24
26	4.0949	4.6647	106.13
27	4.0666	4.6633	105.99
28	4.0391	4.6690	106.59
29	4.0125	4.6679	106.48
30	3.9884	4.6708	106.79
31	3.9646	4.6661	106.28
32	3.9413	4.6780	107.55
33	3.9184	4.6826	108.05
34	3.8968	4.6798	107.75
35	3.8748	4.6818	107.96
36	3.8545	4.6829	108.08
37	3.8343	4.6901	108.87
38	3.8165	4.6998	109.93
39	3.7977	4.6987	109.80
40	3.7787	4.7018	110.15
41	3.7618	4.7082	110.85
42	3.7437	4.7168	111.81
43	3.7270	4.7147	111.57
44	3.7104	4.7160	111.72
45	3.6955	4.7169	111.83
46	3.6806	4.7300	113.29
47	3.6676	4.7324	113.57
48	3.6524	4.7350	113.86
49	3.6384	4.7420	114.67
50	3.6259	4.7487	115.44
51	3.6134	4.7535	115.99
52	3.5979	4.7595	116.69
53	3.5876	4.7619	116.96
54	3.5762	4.7614	116.90
55	3.5624	4.7660	117.44
56	3.5523	4.7645	117.27
57	3.5432	4.7711	118.05
58	3.5321	4.7819	119.34
59	3.5224	4.7835	119.52
60	3.5124	4.7916	120.49
61	3.5024	4.7932	120.69
62	3.4926	4.7973	121.18
63	3.4832	4.8013	121.67
64	3.4737	4.7982	121.29
65	3.4660	4.8068	122.34
66	3.4558	4.8187	123.80
67	3.4483	4.8169	123.58
68	3.4380	4.8135	123.16
69	3.4338	4.8314	125.39
70	3.4254	4.8259	124.70
71	3.4177	4.8331	125.60
72	3.4087	4.8456	127.18
73	3.4014	4.8408	126.57
74	3.3945	4.8448	127.08
75	3.3885	4.8533	128.17
76	3.3805	4.8619	129.27
77	3.3743	4.8505	127.80
78	3.3684	4.8541	128.27
79	3.3607	4.8627	129.38
80	3.3548	4.8640	129.55
81	3.3490	4.8742	130.87
82	3.3414	4.8674	129.99
83	3.3394	4.8838	132.13
84	3.3312	4.8784	131.42
85	3.3263	4.8804	131.69
86	3.3214	4.8768	131.21
87	3.3175	4.8917	133.17
88	3.3109	4.8868	132.53
89	3.3053	4.8911	133.10
90	3.2994	4.8929	133.35
91	3.2945	4.8985	134.09
92	3.2914	4.8992	134.18
93	3.2847	4.9033	134.74
94	3.2819	4.9055	135.04
95	3.2782	4.9158	136.43
96	3.2720	4.9241	137.57
97	3.2690	4.9271	137.98
98	3.2652	4.9188	136.84
99	3.2596	4.9425	140.12
100	3.2570	4.9321	138.67

# Final Evaluation Metrics
Final Epoch Validation PPL	138.670
Best Validation PPL	105.986
Test PPL	110.237
