# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	1.0
emb_size	300
hid_size	300
batch_size	32
dropout_rate	0.2

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.5857	6.1565	471.76
2	6.0102	5.7974	329.43
3	5.7310	5.5889	267.45
4	5.5461	5.4461	231.85
5	5.4134	5.3563	211.94
6	5.3100	5.2750	195.38
7	5.2231	5.2073	182.60
8	5.1480	5.1467	171.87
9	5.0837	5.0834	161.32
10	5.0248	5.0481	155.73
11	4.9716	5.0061	149.32
12	4.9231	4.9684	143.79
13	4.8783	4.9497	141.13
14	4.8376	4.9192	136.89
15	4.7971	4.8902	132.99
16	4.7587	4.8789	131.49
17	4.7251	4.8461	127.24
18	4.6912	4.8296	125.16
19	4.6598	4.8231	124.35
20	4.6300	4.7945	120.84
21	4.6016	4.7838	119.55
22	4.5749	4.7677	117.65
23	4.5489	4.7597	116.71
24	4.5244	4.7546	116.11
25	4.4989	4.7413	114.58
26	4.4768	4.7325	113.58
27	4.4543	4.7216	112.35
28	4.4327	4.7176	111.90
29	4.4128	4.7129	111.38
30	4.3922	4.7037	110.36
31	4.3727	4.7023	110.21
32	4.3552	4.6955	109.45
33	4.3378	4.6928	109.15
34	4.3195	4.6817	107.96
35	4.3009	4.6835	108.15
36	4.2864	4.6753	107.27
37	4.2714	4.6785	107.60
38	4.2543	4.6704	106.74
39	4.2378	4.6710	106.81
40	4.2242	4.6676	106.44
41	4.2098	4.6663	106.31
42	4.1949	4.6647	106.14
43	4.1818	4.6652	106.18
44	4.1676	4.6635	106.01
45	4.1558	4.6604	105.68
46	4.1416	4.6558	105.19
47	4.1286	4.6608	105.72
48	4.1173	4.6598	105.62
49	4.1035	4.6652	106.19
50	4.0924	4.6558	105.20
51	4.0807	4.6606	105.69
52	4.0700	4.6548	105.09
53	4.0589	4.6600	105.64
54	4.0474	4.6663	106.30
55	4.0367	4.6617	105.82
56	4.0267	4.6602	105.65
57	4.0178	4.6550	105.11
58	4.0071	4.6673	106.41
59	3.9976	4.6639	106.05
60	3.9876	4.6626	105.91
61	3.9766	4.6667	106.34
62	3.9703	4.6672	106.40
63	3.9579	4.6649	106.15
64	3.9497	4.6640	106.06
65	3.9404	4.6666	106.33
66	3.9344	4.6694	106.63
67	3.9260	4.6656	106.23
68	3.9202	4.6669	106.37
69	3.9097	4.6691	106.60
70	3.8998	4.6726	106.97
71	3.8940	4.6720	106.91
72	3.8848	4.6744	107.17
73	3.8814	4.6731	107.03
74	3.8718	4.6837	108.17
75	3.8629	4.6829	108.09
76	3.8563	4.6768	107.43
77	3.8478	4.6836	108.16
78	3.8421	4.6823	108.02
79	3.8340	4.6872	108.55
80	3.8280	4.6891	108.75
81	3.8192	4.6891	108.76
82	3.8156	4.6918	109.05
83	3.8069	4.6938	109.27
84	3.8005	4.6900	108.86
85	3.7964	4.6907	108.93
86	3.7910	4.7018	110.14
87	3.7840	4.6940	109.29
88	3.7772	4.6984	109.77
89	3.7703	4.7053	110.53
90	3.7649	4.7129	111.37
91	3.7615	4.7038	110.36
92	3.7548	4.7101	111.07
93	3.7490	4.7045	110.44
94	3.7428	4.7153	111.64
95	3.7380	4.7103	111.08
96	3.7333	4.7058	110.59
97	3.7280	4.7098	111.03
98	3.7230	4.7120	111.28
99	3.7175	4.7142	111.52
100	3.7109	4.7256	112.80

# Final Evaluation Metrics
Final Epoch Validation PPL	112.801
Best Validation PPL	105.091
Test PPL	100.727
