# batch_size=32
# lr=5e-05
# epochs=30
# patience=5
# clip=5
# dropout=0.1
# runpath=runs/BertJoint/20250517_112222
# model_path=bin/BertJoint.pt
# model_name=bert-base-uncased
epoch,train_loss,val_loss,intent_accuracy,slot_f1
1,1.570851846252169,0.5287004169076681,0.9417670682730924,0.8744434550311664
2,0.36477292850613596,0.23680314887315035,0.9718875502008032,0.9425964085958198
3,0.19677740141217198,0.15043515409342945,0.9859437751004017,0.9572649572649573
4,0.1291214474476874,0.11535345832817256,0.9919678714859438,0.9677800768548626
5,0.0915973685814866,0.08822894736658782,0.9959839357429718,0.9752358490566038
6,0.06757618839453373,0.09822527226060629,0.9919678714859438,0.9754945379391793
7,0.04768059206461268,0.08117998513625935,0.9939759036144579,0.9814104455591619
8,0.03306565441723381,0.08741151526919566,0.9959839357429718,0.9802301563883151
9,0.024673773813992737,0.0859484624088509,0.9939759036144579,0.9813884785819792
10,0.020468928275762924,0.07571804718463682,0.9919678714859438,0.9822695035460993
11,0.014749420449204211,0.09159660906880163,0.9899598393574297,0.9802067946824223
12,0.01099891550506332,0.07023448251129594,0.9959839357429718,0.9811097992916175
13,0.01098886624178184,0.07012218024465255,0.9959839357429718,0.9802184824328314
14,0.007930208242032676,0.06975039919052506,0.9959839357429718,0.9825804546796575
15,0.006740609465798895,0.07717098270950373,0.9939759036144579,0.9831610044313146
16,0.0072404851355323836,0.07125864607223775,0.9959839357429718,0.9834613112817483
17,0.007508336370977174,0.07265499355344218,0.9959839357429718,0.9813994685562445
18,0.006958134810806119,0.07357336480345111,0.9959839357429718,0.9846517119244392
19,0.004015166941098869,0.07499632378312526,0.9959839357429718,0.9855329199881901
20,0.0031282330979593097,0.07067288323014509,0.9959839357429718,0.9867139061116031
21,0.0029012958161599403,0.06957168764347443,0.9959839357429718,0.9861316022425495
22,0.004400752487293045,0.07433544899322442,0.9959839357429718,0.9840613931523022
23,0.004226540458538304,0.07387697548983851,0.9959839357429718,0.9861234130498967
24,0.008297355317128156,0.0799893448856892,0.9959839357429718,0.9852333136444182
25,0.004529712164990737,0.07375438761664554,0.9959839357429718,0.983170947741364
