# batch_size=32
# lr=5e-05
# epochs=30
# patience=5
# clip=5
# dropout=0.5
# runpath=runs/BertJoint_dropout/20250518_112044
# model_path=model_bin/BertJoint_dropout.pt
# model_name=bert-base-uncased
epoch,train_loss,val_loss,intent_accuracy,slot_f1
1,1.559375149650233,0.4809231963008642,0.9477911646586346,0.8745541022592153
2,0.37030554972589014,0.22480682842433453,0.9779116465863453,0.9318048206937096
3,0.20636704101094178,0.16871979413554072,0.9879518072289156,0.9534746760895171
4,0.13036970625232372,0.128853817936033,0.9899598393574297,0.9667353547247571
5,0.09415212469175457,0.0962685823906213,0.9919678714859438,0.9772928339722796
6,0.07365977275850517,0.09654462011530995,0.9899598393574297,0.9761273209549072
7,0.050127289324466674,0.07716910110320896,0.9939759036144579,0.9749188551195042
8,0.044561914115079815,0.09304153485572897,0.9899598393574297,0.9793632075471698
9,0.032085316199144086,0.10308454948244616,0.9859437751004017,0.9817109144542773
10,0.03797228359949908,0.10748857434373349,0.9839357429718876,0.9813884785819792
11,0.028345903528055976,0.09074519241403323,0.9899598393574297,0.9808429118773947
12,0.029004814276205642,0.08054976881248876,0.9939759036144579,0.9840519787359717
13,0.019870660923022244,0.06896672277071048,0.9959839357429718,0.9837805956944854
14,0.016459672314314437,0.09677709544484969,0.9899598393574297,0.9831907991742849
15,0.02029249310227377,0.11628331575047923,0.9899598393574297,0.9820218096080165
16,0.021808924363826268,0.08631216392677743,0.9939759036144579,0.9840613931523022
17,0.01461956725356036,0.09638217734755017,0.9919678714859438,0.9826112584733275
18,0.009517334317622174,0.1149178110936191,0.9879518072289156,0.9793753682969947
19,0.008556364839231329,0.09961677738101571,0.9899598393574297,0.9861397817752876
20,0.006146151376222926,0.09647103209135821,0.9899598393574297,0.9855414576571261
21,0.006582600987998635,0.09526670895866118,0.9919678714859438,0.9858407079646018
22,0.008933216900498206,0.09874900939394138,0.9879518072289156,0.9837710239008557
23,0.008754572494321369,0.10523113804811146,0.9879518072289156,0.985832349468713
24,0.005017811339764324,0.09183889150335744,0.9919678714859438,0.983480825958702

# Final Test Metrics
test_intent_accuracy,0.9765
test_slot_f1,0.9566
