# Training Configuration
Parameter	Value
name	LSTM_SGD_dropout_True_lr_2.0_emb_300_hid_200_batch_32
dropout	True
optimizer	SGD
lr	2.0
hid_size	200
emb_size	300
batch_size	32

Epoch	Train Loss	Dev Loss	Dev Perplexity
1	6.2588	5.7575	316.56
2	5.7197	5.5335	253.03
3	5.5336	5.4081	223.21
4	5.4162	5.3179	203.95
5	5.3289	5.2541	191.35
6	5.2604	5.2059	182.34
7	5.2029	5.1670	175.39
8	5.1552	5.1362	170.06
9	5.1129	5.1058	164.98
10	5.0767	5.0887	162.17
11	5.0442	5.0639	158.20
12	5.0130	5.0416	154.72
13	4.9861	5.0270	152.47
14	4.9614	5.0111	150.06
15	4.9372	5.0019	148.69
16	4.9160	4.9859	146.33
17	4.8955	4.9799	145.46
18	4.8773	4.9658	143.42
19	4.8592	4.9548	141.85
20	4.8421	4.9470	140.76
21	4.8258	4.9402	139.80
22	4.8107	4.9310	138.51
23	4.7957	4.9264	137.88
24	4.7815	4.9221	137.29
25	4.7663	4.9132	136.07
26	4.7556	4.9087	135.47
27	4.7405	4.9036	134.78
28	4.7289	4.8992	134.18
29	4.7182	4.8955	133.69
30	4.7062	4.8892	132.84
31	4.6955	4.8867	132.52
32	4.6862	4.8822	131.92
33	4.6747	4.8800	131.63
34	4.6645	4.8780	131.37
35	4.6554	4.8717	130.54
36	4.6462	4.8702	130.35
37	4.6377	4.8647	129.63
38	4.6285	4.8629	129.39
39	4.6209	4.8588	128.86
40	4.6114	4.8574	128.69
41	4.6024	4.8573	128.67
42	4.5959	4.8523	128.03
43	4.5876	4.8502	127.77
44	4.5809	4.8475	127.43
45	4.5734	4.8433	126.89
46	4.5653	4.8416	126.67
47	4.5580	4.8411	126.60
48	4.5510	4.8435	126.92
49	4.5449	4.8400	126.47
50	4.5378	4.8384	126.26
51	4.5321	4.8353	125.87
52	4.5243	4.8363	126.00
53	4.5186	4.8337	125.67
54	4.5132	4.8340	125.71
55	4.5056	4.8358	125.94
56	4.5001	4.8305	125.27
57	4.4948	4.8287	125.05
58	4.4889	4.8284	125.02
59	4.4846	4.8249	124.57
60	4.4784	4.8260	124.71
61	4.4726	4.8238	124.44
62	4.4676	4.8256	124.66
63	4.4619	4.8264	124.76
64	4.4567	4.8207	124.06
65	4.4515	4.8206	124.04
66	4.4480	4.8240	124.46
67	4.4414	4.8200	123.97
68	4.4367	4.8185	123.78
69	4.4320	4.8207	124.05
70	4.4273	4.8207	124.05
71	4.4228	4.8214	124.14

# Final Evaluation Metrics
Final Epoch Validation Perplexity	124.138
Best Validation Perplexity	123.776
Test Perplexity	120.489
