# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	2.0
emb_size	300
hid_size	300
batch_size	32
dropout_rate	0.2

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.3757	5.8669	353.15
2	5.6998	5.5284	251.74
3	5.4177	5.3089	202.13
4	5.2377	5.1726	176.38
5	5.1058	5.0798	160.73
6	4.9999	4.9924	147.29
7	4.9108	4.9397	139.73
8	4.8341	4.9114	135.83
9	4.7652	4.8548	128.36
10	4.7032	4.8237	124.42
11	4.6451	4.7896	120.25
12	4.5952	4.7638	117.19
13	4.5461	4.7451	115.03
14	4.5035	4.7274	113.00
15	4.4606	4.7132	111.41
16	4.4226	4.6979	109.72
17	4.3867	4.6870	108.53
18	4.3528	4.6751	107.24
19	4.3201	4.6747	107.20
20	4.2900	4.6689	106.58
21	4.2597	4.6618	105.82
22	4.2322	4.6533	104.93
23	4.2074	4.6476	104.34
24	4.1800	4.6531	104.91
25	4.1556	4.6452	104.08
26	4.1326	4.6475	104.33
27	4.1114	4.6477	104.34
28	4.0905	4.6514	104.74
29	4.0693	4.6466	104.23
30	4.0501	4.6449	104.05
31	4.0305	4.6447	104.04
32	4.0135	4.6440	103.96
33	3.9967	4.6423	103.78
34	3.9795	4.6532	104.92
35	3.9628	4.6503	104.62
36	3.9469	4.6592	105.55
37	3.9333	4.6569	105.30
38	3.9178	4.6592	105.55
39	3.9054	4.6642	106.09
40	3.8913	4.6723	106.94
41	3.8774	4.6798	107.75
42	3.8654	4.6725	106.97
43	3.8542	4.6715	106.86
44	3.8404	4.6805	107.82
45	3.8297	4.6720	106.91
46	3.8196	4.6801	107.78
47	3.8085	4.6852	108.33
48	3.7991	4.6812	107.90
49	3.7883	4.6909	108.96
50	3.7783	4.6950	109.40
51	3.7681	4.6940	109.29
52	3.7584	4.6975	109.67
53	3.7512	4.7047	110.46
54	3.7428	4.7044	110.43
55	3.7334	4.7098	111.03
56	3.7254	4.7135	111.44
57	3.7177	4.7245	112.67
58	3.7093	4.7210	112.28
59	3.7019	4.7126	111.34
60	3.6959	4.7199	112.16
61	3.6856	4.7290	113.18
62	3.6825	4.7303	113.33
63	3.6751	4.7295	113.23
64	3.6676	4.7372	114.12
65	3.6631	4.7351	113.87
66	3.6542	4.7386	114.27
67	3.6490	4.7420	114.66
68	3.6429	4.7458	115.10
69	3.6369	4.7489	115.46
70	3.6321	4.7550	116.17
71	3.6262	4.7579	116.50
72	3.6197	4.7568	116.37
73	3.6153	4.7608	116.84
74	3.6112	4.7629	117.09
75	3.6073	4.7656	117.40
76	3.6001	4.7651	117.34
77	3.5952	4.7663	117.49
78	3.5913	4.7778	118.84
79	3.5878	4.7728	118.26
80	3.5841	4.7768	118.72
81	3.5758	4.7847	119.67
82	3.5738	4.7828	119.44
83	3.5686	4.7845	119.64
84	3.5646	4.7875	120.00
85	3.5593	4.7973	121.19
86	3.5557	4.7916	120.49
87	3.5516	4.7958	121.00
88	3.5479	4.7998	121.48
89	3.5459	4.7982	121.30
90	3.5393	4.8029	121.86
91	3.5366	4.8084	122.54
92	3.5347	4.8060	122.24
93	3.5306	4.8095	122.67
94	3.5266	4.8149	123.33
95	3.5230	4.8114	122.90
96	3.5205	4.8180	123.71
97	3.5160	4.8154	123.39
98	3.5125	4.8228	124.31
99	3.5106	4.8211	124.10
100	3.5069	4.8259	124.70

# Final Evaluation Metrics
Final Epoch Validation PPL	124.701
Best Validation PPL	103.784
Test PPL	102.983
