# Training Configuration
Parameter	Value
name	LSTM_SGD_dropout_True_lr_1.0_emb_300_hid_200_batch_32
dropout	True
optimizer	SGD
lr	1.0
hid_size	200
emb_size	300
batch_size	32

Epoch	Train Loss	Dev Loss	Dev Perplexity
1	6.2629	5.7677	319.81
2	5.7250	5.5354	253.51
3	5.5430	5.4105	223.73
4	5.4260	5.3246	205.33
5	5.3383	5.2609	192.65
6	5.2688	5.2084	182.81
7	5.2120	5.1806	177.79
8	5.1644	5.1348	169.83
9	5.1218	5.1141	166.34
10	5.0852	5.0869	161.89
11	5.0519	5.0658	158.51
12	5.0219	5.0473	155.61
13	4.9937	5.0301	152.95
14	4.9691	5.0078	149.58
15	4.9453	5.0043	149.06
16	4.9236	4.9860	146.36
17	4.9027	4.9760	144.89
18	4.8842	4.9652	143.34
19	4.8656	4.9579	142.29
20	4.8488	4.9508	141.29
21	4.8332	4.9426	140.13
22	4.8167	4.9339	138.92
23	4.8022	4.9327	138.76
24	4.7867	4.9227	137.37
25	4.7733	4.9204	137.06
26	4.7599	4.9090	135.50
27	4.7479	4.9035	134.77
28	4.7353	4.9015	134.49
29	4.7249	4.8958	133.72
30	4.7123	4.8934	133.41
31	4.7028	4.8875	132.63
32	4.6914	4.8819	131.88
33	4.6806	4.8790	131.50
34	4.6706	4.8752	131.00
35	4.6622	4.8747	130.94
36	4.6529	4.8725	130.65
37	4.6432	4.8669	129.92
38	4.6340	4.8619	129.28
39	4.6239	4.8637	129.51
40	4.6163	4.8567	128.60
41	4.6090	4.8595	128.96
42	4.6010	4.8537	128.22
43	4.5929	4.8529	128.12
44	4.5840	4.8506	127.81
45	4.5782	4.8494	127.67
46	4.5696	4.8498	127.71
47	4.5631	4.8437	126.94
48	4.5556	4.8466	127.31
49	4.5498	4.8423	126.76
50	4.5432	4.8463	127.27
51	4.5377	4.8377	126.17
52	4.5304	4.8365	126.02
53	4.5236	4.8412	126.62
54	4.5174	4.8342	125.74
55	4.5109	4.8364	126.02
56	4.5051	4.8332	125.61
57	4.4991	4.8324	125.51
58	4.4935	4.8328	125.57
59	4.4865	4.8313	125.37
60	4.4814	4.8329	125.58
61	4.4760	4.8313	125.37
62	4.4711	4.8316	125.41
63	4.4644	4.8283	124.99
64	4.4594	4.8246	124.53
65	4.4549	4.8256	124.66
66	4.4506	4.8245	124.52
67	4.4462	4.8242	124.49
68	4.4403	4.8227	124.30
69	4.4338	4.8263	124.75
70	4.4307	4.8228	124.32
71	4.4260	4.8182	123.74
72	4.4201	4.8223	124.25
73	4.4171	4.8199	123.95
74	4.4116	4.8216	124.16

# Final Evaluation Metrics
Final Epoch Validation Perplexity	124.161
Best Validation Perplexity	123.744
Test Perplexity	119.449
