# Training Configuration
Parameter	Value
name	LSTM_SGD_dropout_False_lr_1.0_emb_300_hid_200_batch_32
dropout	False
optimizer	SGD
lr	1.0
hid_size	200
emb_size	300
batch_size	32

Epoch	Train Loss	Dev Loss	Dev Perplexity
1	6.1640	5.7220	305.51
2	5.5686	5.4750	238.64
3	5.3427	5.3348	207.43
4	5.1911	5.2481	190.20
5	5.0753	5.1914	179.72
6	4.9811	5.1369	170.18
7	4.9013	5.1194	167.23
8	4.8317	5.0722	159.52
9	4.7696	5.0423	154.82
10	4.7140	5.0365	153.92
11	4.6626	5.0135	150.43
12	4.6152	5.0055	149.23
13	4.5716	5.0013	148.61
14	4.5304	4.9852	146.23
15	4.4909	4.9856	146.28
16	4.4548	4.9775	145.11
17	4.4193	4.9772	145.07
18	4.3860	4.9779	145.16
19	4.3541	4.9735	144.54
20	4.3231	4.9797	145.43
21	4.2934	4.9784	145.25
22	4.2651	4.9880	146.65

# Final Evaluation Metrics
Final Epoch Validation Perplexity	146.646
Best Validation Perplexity	144.538
Test Perplexity	139.078
