# batch_size=32
# lr=5e-05
# epochs=30
# patience=5
# clip=5
# dropout=0.1
# runpath=runs/BertJoint/20250518_111241
# model_path=model_bin/BertJoint.pt
# model_name=bert-base-uncased
epoch,train_loss,val_loss,intent_accuracy,slot_f1
1,1.4343000597187452,0.41219750326126814,0.9658634538152611,0.8846039750815783
2,0.31302604504993986,0.20847798977047205,0.9859437751004017,0.9361576934392468
3,0.1798727087144341,0.13303443230688572,0.9899598393574297,0.9561119293078056
4,0.10861841566594584,0.11304028669837862,0.9899598393574297,0.9716981132075471
5,0.08198342099785805,0.09743194736074656,0.9899598393574297,0.9793144208037825
6,0.05755211657711438,0.09212622605264187,0.9859437751004017,0.9763872491145219
7,0.04191403058357537,0.08070886906352825,0.9919678714859438,0.9772794334611979
8,0.037526599983019486,0.08946891315281391,0.9899598393574297,0.9796279893711249
9,0.037544689064712394,0.07712876959703863,0.9959839357429718,0.9814214096136833
10,0.030607257949720537,0.07566969897015952,0.9939759036144579,0.9808089754945379
11,0.02537616231877889,0.0902394284348702,0.9899598393574297,0.9810986414648554
12,0.014050567053657557,0.08806190843461081,0.9919678714859438,0.9817216981132076
13,0.012488748226314784,0.07856033499410842,0.9899598393574297,0.9837710239008557
14,0.008119572097867993,0.0815483191399835,0.9939759036144579,0.9846335697399529
15,0.006654514110414312,0.07787368960271124,0.9939759036144579,0.9852333136444182
16,0.010451968635399161,0.07355768099660054,0.9919678714859438,0.985549985255087
17,0.006562052959010804,0.08202225649074535,0.9939759036144579,0.9843519338647769
18,0.006640314319936026,0.07942257664399222,0.9919678714859438,0.9864066193853428
19,0.0037884996559504154,0.08053170828861766,0.9939759036144579,0.9843611684862792
20,0.003523639001234967,0.08339636672462802,0.9939759036144579,0.9846335697399529
21,0.004487632333101439,0.07881789139355533,0.9939759036144579,0.9864066193853428
22,0.014550923235947266,0.1002354547381401,0.9899598393574297,0.9861152141802068
23,0.05939881845177816,0.09494470412755618,0.9899598393574297,0.9837614408030706

# Final Test Metrics
test_intent_accuracy,0.9776
test_slot_f1,0.9597
