# batch_size=32
# lr=5e-05
# epochs=30
# patience=5
# clip=5
# dropout=0.5
# runpath=runs/BertJoint_dropout/20250517_113045
# model_path=bin/BertJoint_dropout.pt
# model_name=bert-base-uncased
epoch,train_loss,val_loss,intent_accuracy,slot_f1
1,1.5358591017978531,0.5094096679240465,0.9377510040160643,0.8655660377358491
2,0.3972264757645982,0.2722780704498291,0.9658634538152611,0.9336870026525199
3,0.228697150519916,0.15579273737967014,0.9939759036144579,0.9462555066079296
4,0.12980133169995886,0.13155306410044432,0.9879518072289156,0.9619805481874447
5,0.09326602923018591,0.10788931918796152,0.9939759036144579,0.9743740795287188
6,0.07986731452069112,0.10684273217339069,0.9859437751004017,0.9766755240625923
7,0.05753449528877224,0.07572770537808537,0.9939759036144579,0.9834710743801652
8,0.04017211667794202,0.06694680501823314,0.9959839357429718,0.9793388429752067
9,0.033824101905338466,0.07750244453200139,0.9899598393574297,0.9820112061338837
10,0.02249005407959755,0.07385786123631988,0.9899598393574297,0.9799528301886792
11,0.017100035355958554,0.07687287808221299,0.9919678714859438,0.9799410029498524
12,0.016994588660808014,0.07363409284153022,0.9939759036144579,0.9834710743801652
