# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	2.0
emb_size	400
hid_size	400
batch_size	64
dropout_rate	0.3

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.3465	5.8296	340.22
2	5.6893	5.4689	237.21
3	5.4135	5.2936	199.05
4	5.2381	5.1588	173.96
5	5.1093	5.0750	159.97
6	5.0032	4.9822	145.79
7	4.9136	4.9326	138.74
8	4.8348	4.8780	131.36
9	4.7637	4.8384	126.27
10	4.7021	4.7861	119.83
11	4.6440	4.7713	118.07
12	4.5914	4.7464	115.17
13	4.5401	4.7185	112.00
14	4.4967	4.6976	109.68
15	4.4539	4.6841	108.21
16	4.4144	4.6713	106.84
17	4.3771	4.6568	105.29
18	4.3416	4.6455	104.12
19	4.3086	4.6441	103.97
20	4.2751	4.6287	102.38
21	4.2449	4.6253	102.03
22	4.2169	4.6235	101.85
23	4.1898	4.6143	100.92
24	4.1647	4.6196	101.46
25	4.1393	4.6197	101.46
26	4.1151	4.6189	101.38
27	4.0945	4.6192	101.41
28	4.0701	4.6171	101.20
29	4.0501	4.6088	100.36
30	4.0293	4.6187	101.36
31	4.0101	4.6180	101.29
32	3.9910	4.6189	101.38
33	3.9747	4.6206	101.56
34	3.9570	4.6134	100.82
35	3.9412	4.6166	101.15
36	3.9240	4.6231	101.81
37	3.9092	4.6273	102.24
38	3.8949	4.6268	102.19
39	3.8812	4.6289	102.40
40	3.8680	4.6412	103.67
41	3.8527	4.6401	103.55
42	3.8430	4.6325	102.77
43	3.8290	4.6426	103.81
44	3.8178	4.6401	103.55
45	3.8066	4.6410	103.65
46	3.7955	4.6511	104.70
47	3.7829	4.6536	104.97
48	3.7745	4.6524	104.84
49	3.7633	4.6579	105.42
50	3.7535	4.6618	105.83
51	3.7432	4.6560	105.22
52	3.7361	4.6631	105.96
53	3.7271	4.6657	106.24
54	3.7190	4.6665	106.33
55	3.7110	4.6731	107.03
56	3.7032	4.6674	106.42
57	3.6952	4.6785	107.61
58	3.6877	4.6849	108.30
59	3.6831	4.6900	108.85
60	3.6746	4.6873	108.56
61	3.6674	4.6954	109.44
62	3.6620	4.6876	108.59
63	3.6540	4.6965	109.56
64	3.6479	4.6918	109.05
65	3.6409	4.6996	109.91
66	3.6362	4.7039	110.37
67	3.6291	4.7059	110.60
68	3.6237	4.7104	111.10
69	3.6190	4.7063	110.64
70	3.6143	4.7073	110.75
71	3.6081	4.7115	111.22
72	3.6039	4.7200	112.17
73	3.5985	4.7122	111.29
74	3.5953	4.7257	112.81
75	3.5877	4.7237	112.58
76	3.5846	4.7246	112.69
77	3.5766	4.7248	112.70
78	3.5741	4.7342	113.78
79	3.5713	4.7322	113.55
80	3.5671	4.7348	113.84
81	3.5643	4.7404	114.49
82	3.5583	4.7380	114.21
83	3.5561	4.7466	115.19
84	3.5494	4.7517	115.78
85	3.5460	4.7400	114.44
86	3.5452	4.7472	115.26
87	3.5409	4.7440	114.89
88	3.5340	4.7501	115.60
89	3.5328	4.7499	115.57
90	3.5292	4.7465	115.18
91	3.5252	4.7535	115.99
92	3.5248	4.7606	116.82
93	3.5192	4.7583	116.55
94	3.5162	4.7584	116.56
95	3.5104	4.7659	117.44
96	3.5115	4.7573	116.44
97	3.5063	4.7695	117.86
98	3.5036	4.7612	116.88
99	3.5022	4.7684	117.73
100	3.4989	4.7692	117.83

# Final Evaluation Metrics
Final Epoch Validation PPL	117.826
Best Validation PPL	100.365
Test PPL	97.923
