# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	1.0
emb_size	400
hid_size	400
batch_size	64
dropout_rate	0.2

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.5771	6.1492	468.32
2	5.9831	5.7912	327.39
3	5.6945	5.5710	262.71
4	5.5050	5.4015	221.73
5	5.3676	5.3120	202.76
6	5.2598	5.2302	186.83
7	5.1686	5.1503	172.48
8	5.0908	5.0994	163.92
9	5.0224	5.0516	156.28
10	4.9587	5.0013	148.60
11	4.9014	4.9746	144.69
12	4.8486	4.9294	138.29
13	4.7975	4.9001	134.31
14	4.7507	4.8716	130.53
15	4.7067	4.8457	127.20
16	4.6642	4.8278	124.94
17	4.6242	4.7989	121.37
18	4.5855	4.7911	120.43
19	4.5496	4.7704	117.97
20	4.5155	4.7600	116.75
21	4.4830	4.7466	115.19
22	4.4500	4.7377	114.18
23	4.4206	4.7280	113.07
24	4.3900	4.7220	112.39
25	4.3631	4.7117	111.24
26	4.3359	4.7060	110.61
27	4.3096	4.7045	110.44
28	4.2832	4.6907	108.93
29	4.2577	4.6852	108.33
30	4.2353	4.6823	108.02
31	4.2101	4.6767	107.42
32	4.1874	4.6799	107.76
33	4.1666	4.6729	107.01
34	4.1437	4.6762	107.36
35	4.1226	4.6732	107.04
36	4.1012	4.6823	108.02
37	4.0817	4.6734	107.07
38	4.0624	4.6760	107.34
39	4.0435	4.6791	107.67
40	4.0242	4.6774	107.49
41	4.0065	4.6761	107.35
42	3.9887	4.6812	107.90
43	3.9733	4.6788	107.64
44	3.9559	4.6865	108.47
45	3.9380	4.6760	107.33
46	3.9210	4.6845	108.26
47	3.9047	4.6856	108.38
48	3.8884	4.6896	108.80
49	3.8735	4.6923	109.10
50	3.8600	4.6999	109.93
51	3.8435	4.6985	109.78
52	3.8296	4.6995	109.89
53	3.8157	4.7021	110.17
54	3.8019	4.7131	111.40
55	3.7884	4.7104	111.10
56	3.7743	4.7064	110.65
57	3.7643	4.7105	111.10
58	3.7506	4.7221	112.40
59	3.7383	4.7207	112.25
60	3.7253	4.7251	112.74
61	3.7127	4.7271	112.96
62	3.7027	4.7282	113.09
63	3.6915	4.7350	113.86
64	3.6787	4.7331	113.65
65	3.6679	4.7416	114.62
66	3.6590	4.7393	114.35
67	3.6475	4.7434	114.83
68	3.6388	4.7381	114.21
69	3.6266	4.7506	115.65
70	3.6157	4.7514	115.74
71	3.6095	4.7626	117.05
72	3.5987	4.7553	116.19
73	3.5876	4.7635	117.15
74	3.5787	4.7639	117.20
75	3.5712	4.7650	117.33
76	3.5630	4.7630	117.10
77	3.5522	4.7720	118.15
78	3.5451	4.7759	118.62
79	3.5364	4.7720	118.16
80	3.5288	4.7847	119.67
81	3.5201	4.7748	118.49
82	3.5113	4.7826	119.41
83	3.5025	4.7874	119.99
84	3.4962	4.7916	120.49
85	3.4877	4.7937	120.75
86	3.4793	4.7980	121.27
87	3.4715	4.8010	121.63
88	3.4671	4.8076	122.44
89	3.4571	4.8028	121.85
90	3.4521	4.8150	123.35
91	3.4437	4.8136	123.18
92	3.4383	4.8148	123.32
93	3.4310	4.8199	123.95
94	3.4260	4.8230	124.34
95	3.4169	4.8230	124.34
96	3.4116	4.8345	125.78
97	3.4056	4.8310	125.33
98	3.3995	4.8304	125.26
99	3.3926	4.8409	126.59
100	3.3852	4.8347	125.80

# Final Evaluation Metrics
Final Epoch Validation PPL	125.795
Best Validation PPL	107.007
Test PPL	106.331
